Título, Ano, Proposta, Mercado
Treasure Hunt,1985,"Educative message broadcasting
Licensed title","Entertainment
Education"
Balade au pays de Big-Ben,1985,"Educative message broadcasting
Storytelling","Entertainment
Education"
Vie et Mort des Dinosaures,1986,Educative message broadcasting,"Entertainment
Education"
Math Rabbit,1986,Educative message broadcasting,"Entertainment
Education"
Takeshi no Chousenjou,1986,Subjective message broadcasting,"Entertainment
Culture & Art"
Odell Lake,1986,Educative message broadcasting,"Entertainment
Education"
Animal Math,1986,Educative message broadcasting,"Entertainment
Education"
Countdown,1986,"Educative message broadcasting
Licensed title","Entertainment
Education"
Amazing Bumpman,1986,Training,"Entertainment
Education"
Dr. Ruth's Computer Game of Good Sex,1986,"Educative message broadcasting
Licensed title","Entertainment
Healthcare
Education"
Monkey Business,1986,Educative message broadcasting,"Entertainment
Education"
Orbiter,1986,Educative message broadcasting,"Entertainment
Education"
Math Blaster!,1986,Educative message broadcasting,"Entertainment
Education"
Spell Castle,1986,"Educative message broadcasting
Training","Entertainment
Education"
The Spy's Adventures in Europe,1986,Educative message broadcasting,"Entertainment
Education"
The Spy's Adventures in North America,1986,Educative message broadcasting,"Entertainment
Education"
Where in the U.S.A. is Carmen Sandiego?,1986,Educative message broadcasting,"Entertainment
Education"
Logiformes,1986,Training,"Entertainment
Education"
Africa,1986,"Educative message broadcasting
Training","Entertainment
Education"
Anatomie,1986,"Educative message broadcasting
Training","Healthcare
Education"
Computrainer,1986,Training,"Entertainment
Corporate"
Biosphere,1986,Educative message broadcasting,"Entertainment
Ecology"
Sansu 1-nen: Keisan Game,1986,Educative message broadcasting,"Entertainment
Education"
Sansu 2-nen: Keisan Game,1986,Educative message broadcasting,"Entertainment
Education"
Sansu 3-nen: Keisan Game,1986,Educative message broadcasting,"Entertainment
Education"
Sansu 4-nen: Keisan Game,1986,Educative message broadcasting,"Entertainment
Education"
Sansu 5・6-nen: Keisan Game,1986,Educative message broadcasting,"Entertainment
Education"
ORDINATHAN,1986,Educative message broadcasting,Education
STADIUM EVENT,1986,Training,"Entertainment
Healthcare"
Vocabulaire,1986,,"Entertainment
Education"
Cessna over Moskow,1987,Informative message broadcasting,"Entertainment
Politics"
The Three Bears,1987,"Training
Storytelling","Entertainment
Education"
Learning Fun I: Math Master Factor Fun,1987,"Educative message broadcasting
Training","Entertainment
Education"
Think Quick!,1987,Educative message broadcasting,"Entertainment
Education"
Town & Country Surf Designs: Wood & Water Rage,1987,Marketing & Communication message broadcasting,"Entertainment
Advertising"
The Ford Simulator,1987,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Pepsi NexGame II,1987,Marketing & Communication message broadcasting,Advertising
Big Rig,1987,Educative message broadcasting,"Entertainment
Education"
A.I. An Experience With Artificial Intelligence,1987,Educative message broadcasting,"Entertainment
Education"
Zoyon Patrol,1987,"Educative message broadcasting
Training","Entertainment
Education"
Laser Surgeon: The Microscopic Mission,1987,Educative message broadcasting,"Entertainment
Education"
Learning Fun II: Word Wizard Memory Fun,1987,"Educative message broadcasting
Training","Entertainment
Education"
Math Blaster Plus!,1987,Educative message broadcasting,"Entertainment
Education"
Mavis Beacon Teaches Typing!,1987,Training,Education
Moses: Old Testament Adventure #1,1987,Subjective message broadcasting,"Entertainment
Religious"
Puzzle Fun-Pak,1987,Educative message broadcasting,"Entertainment
Education"
Quiwi,1987,Educative message broadcasting,"Entertainment
Education"
Sesame Street Crayon: Letters For You,1987,"Educative message broadcasting
Licensed title","Entertainment
Education"
Sesame Street Crayon: Numbers Count,1987,"Educative message broadcasting
Licensed title","Entertainment
Education"
Whopper Chase,1987,Marketing & Communication message broadcasting,Advertising
Trust and Betrayal: The Legacy of Siboot,1987,Informative message broadcasting,"Entertainment
Humanitarian & Caritative"
World History Quiz (Cavemen to Democracy),1987,Educative message broadcasting,"Entertainment
Education"
Apprends-Moi A Compter,1987,"Educative message broadcasting
Training",Education
Au Nom De L'hermine,1987,Educative message broadcasting,"Entertainment
Education"
Calcul,1987,"Educative message broadcasting
Training",Education
Monde,1987,"Educative message broadcasting
Training","Entertainment
Education"
Hexan,1987,Educative message broadcasting,"Entertainment
Education"
Méwilo,1987,Educative message broadcasting,"Entertainment
Education"
Mixed-Up Mother Goose,1987,"Educative message broadcasting
Licensed title","Entertainment
Education"
See the U.S.A.,1987,"Educative message broadcasting
Training","Entertainment
Education"
Trivial Pursuit: Young Players Edition,1987,"Educative message broadcasting
Licensed title","Entertainment
Education
Ecology"
LA BOSSE DES MATHS 3ème,1987,Educative message broadcasting,Education
Des Chiffres et des Lettres,1987,"Educative message broadcasting
Training
Licensed title","Entertainment
Education"
Yume Kojo : Doki Doki Panic,1987,"Marketing & Communication message broadcasting
Licensed title","Entertainment
Media"
Les mille et un voyages,1988,"Educative message broadcasting
Storytelling","Entertainment
Education
Culture & Art"
Aux Origines De La Vie,1988,Educative message broadcasting,"Entertainment
Education"
Word Whiz,1988,Training,"Entertainment
Education"
Le SIDA et nous,1988,"Informative message broadcasting
Marketing & Communication message broadcasting","Entertainment
Healthcare
Education"
Troubadours,1988,"Educative message broadcasting
Storytelling","Entertainment
Education"
Donald Land,1988,"Marketing & Communication message broadcasting
Storytelling
Licensed title","Entertainment
Advertising"
Les Voleurs de Temps,1988,"Training
Storytelling","Entertainment
Education"
Han d'Islande,1988,"Storytelling
Licensed title","Entertainment
Culture & Art"
Spellevator,1988,"Educative message broadcasting
Training",Education
The California Raisins,1988,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Fisher-Price: Firehouse Rescue,1988,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Mad Mix,1988,Marketing & Communication message broadcasting,"Entertainment
Advertising"
States and Capitals,1988,Educative message broadcasting,"Entertainment
Education"
32 in 1 Game Cartridge,1988,"Educative message broadcasting
Licensed title","Entertainment
Education"
The Astronomy Quiz,1988,Educative message broadcasting,"Entertainment
Education"
Cadenza Bog,1988,Educative message broadcasting,"Entertainment
Education"
Cartooners,1988,Educative message broadcasting,"Entertainment
Education"
The Computer Quiz,1988,Educative message broadcasting,"Entertainment
Education"
Donald's Alphabet Chase,1988,Educative message broadcasting,"Entertainment
Education"
Flippy's Circus Coins,1988,Educative message broadcasting,"Entertainment
Education"
Guardians of Infinity: To Save Kennedy,1988,Educative message broadcasting,"Entertainment
Education"
Hometown U.S.A.,1988,Educative message broadcasting,"Entertainment
Education"
Encyclopedia of War: Ancient Battles,1988,Educative message broadcasting,"Entertainment
Education"
Number Munchers Tribute,1988,"Educative message broadcasting
Licensed title","Entertainment
Education"
P-Robots,1988,Educative message broadcasting,"Entertainment
Education"
Spelling Fun One,1988,Educative message broadcasting,"Entertainment
Education"
US History: Western Settlement to Modern Day,1988,Educative message broadcasting,"Entertainment
Education"
Where in Europe is Carmen Sandiego?,1988,Educative message broadcasting,"Entertainment
Education"
A La Decouverte De L'homme,1988,"Educative message broadcasting
Training","Healthcare
Education"
A La Decouverte De La Terre,1988,"Educative message broadcasting
Training",Education
A La Decouverte De La Vie,1988,"Educative message broadcasting
Training",Education
Amstrad à la Maternelle,1988,"Educative message broadcasting
Training",Education
Anglais College 6e-5e,1988,"Educative message broadcasting
Training",Education
Blabla Technocratique,1988,Subjective message broadcasting,"Entertainment
Politics"
Coloriage - Les Petits Malins,1988,"Educative message broadcasting
Licensed title","Entertainment
Education"
Rody & Mastico,1988,"Educative message broadcasting
Storytelling","Entertainment
Education"
Clever Bot,1988,Goods trading,"Entertainment
Scientific Research"
Associe,1989,Training,Education
Where in Time is Carmen Sandiego?,1989,Educative message broadcasting,"Entertainment
Education"
Reader Rabbit,1989,Educative message broadcasting,Education
Super Solvers: Midnight Rescue!,1989,"Educative message broadcasting
Training","Entertainment
Healthcare
Education"
Blue Angels: Formation Flight Simulation,1989,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Education Series: General Knowledge Builder,1989,Educative message broadcasting,"Entertainment
Education"
How to Weigh an Elephant,1989,Educative message broadcasting,"Entertainment
Education"
The IBM BASIC Quiz,1989,Educative message broadcasting,"Entertainment
Education"
In the Days of Knights & Kings,1989,Educative message broadcasting,"Entertainment
Education"
Magic Boxes,1989,Educative message broadcasting,"Entertainment
Education"
The Playroom,1989,Educative message broadcasting,"Entertainment
Education"
Proto Type,1989,Training,"Entertainment
Education"
Topografie Nederland,1989,Educative message broadcasting,"Entertainment
Education"
Same or Different,1989,Educative message broadcasting,"Entertainment
Education"
Sesame Street 1 2 3,1989,Educative message broadcasting,"Entertainment
Education"
Sesame Street A B C,1989,"Educative message broadcasting
Licensed title","Entertainment
Education"
Where in the World is Carmen Sandiego? (Enhanced),1989,Educative message broadcasting,"Entertainment
Education"
Avoid the Noid,1989,Marketing & Communication message broadcasting,"Entertainment
Advertising"
Le Labyrinthe d'Orthophus,1989,Educative message broadcasting,Education
